Week,TB1,TB2,TB3,TB4,TB5,TB6,TB7,TB8,
18-25,HFR-20 investigation,FBR calibration,Drive torque measurement with piston type flow meter application,Injector back pressure sensitivity investigation,CRI1-20 injector development by EPD,Air robustness verification,QWC-FFT trouble shooting,Peak pressure investigation,
18-26,PLV investigation,FBR calibration,Drive torque measurement with piston type flow meter application,Injector back pressure sensitivity investigation,CRI1-20 injector development by EPD,Idle,ET-MAP,ET-MAP,
18-26,Idle,FBR calibration,Drive torque measurement with piston type flow meter application,Injector back pressure sensitivity investigation,CRI1-20 injector development by EPD,Air robustness verification,ET-MAP,ET-MAP,
18-26,PLV investigation,FBR calibration,Drive torque measurement with piston type flow meter application,Injector back pressure sensitivity investigation,CRI1-20 injector development by EPD,Air robustness verification,ET-MAP,ET-MAP,
18-26,PLV investigation,FBR calibration,Drive torque measurement with piston type flow meter application,Injector back pressure sensitivity investigation,CRI1-20 injector development by EPD,Air robustness verification,ET-MAP,ET-MAP,
18-26,PLV investigation,FBR calibration,Drive torque measurement with piston type flow meter application,Injector back pressure sensitivity investigation,CRI1-20 injector development by EPD,Air robustness verification,FBR calibration,ET-MAP,
18-27,PLV investigation,FBR calibration,Drive torque measurement with piston type flow meter application,Injector back pressure sensitivity investigation,CRI1-20 injector development by EPD,Air robustness verification,FBR calibration,QPC development,
18-27,PLV investigation,FBR calibration,Drive torque measurement with piston type flow meter application,Injector back pressure sensitivity investigation,CRI1-20 injector development by EPD,Air robustness verification,FBR calibration,QPC development,
18-27,PLV investigation,FBR calibration,Drive torque measurement with piston type flow meter application,Injector back pressure sensitivity investigation,CRI1-20 injector development by EPD,Air robustness verification,QWC-FFT trouble shooting,QPC development,
18-27,PLV investigation,ISP,Drive torque measurement with piston type flow meter application,ET-MAP,CRI1-20 injector development by EPD,Air robustness verification,QWC-FFT trouble shooting,QPC development,
18-27,PLV investigation,ISP,Drive torque measurement with piston type flow meter application,ET-MAP,CRI1-20 injector development by EPD,Air robustness verification,QWC-FFT trouble shooting,QPC development,
18-28,PLV investigation,ISP,Drive torque measurement with piston type flow meter application,Air robustness verification,CRI1-20 injector development by EPD,Air robustness verification,ETMAP,QPC development,
18-28,PLV investigation,ISP,Drive torque measurement with piston type flow meter application,Air robustness verification,CRI1-20 injector development by EPD,Air robustness verification,ETMAP,QPC development,
18-28,PLV investigation,ISP,Drive torque measurement with piston type flow meter application,Air robustness verification,CRI1-20 injector development by EPD,Air robustness verification,ETMAP,QPC development,
18-28,ET-MAP Yuchai Power V28_CRI1-18 B sample,ISP,Drive torque measurement with piston type flow meter application,Air robustness verification,CRI1-20 injector development by EPD,Air robustness verification,ETMAP,QPC development,
18-28,ET-MAP Yuchai Power V28_CRI1-18 B sample,ISP,Drive torque measurement with piston type flow meter application,Air robustness verification,CRI1-20 injector development by EPD,Air robustness verification,ETMAP,QPC development,
18-29,QPC development,ISP,Drive torque measurement with piston type flow meter application,Air robustness verification,CRI1-20 injector development by EPD,Air robustness verification,ET-MAP,Peak pressure investigation,
18-29,QPC development,ET_MAP,Drive torque measurement with piston type flow meter application,Air robustness verification,CRI1-20 injector development by EPD,Air robustness verification,ET-MAP,Peak pressure investigation,
18-29,QPC development,ET_MAP,Drive torque measurement with piston type flow meter application,Air robustness verification,CRI1-20 injector development by EPD,Air robustness verification,FBR calibration,Peak pressure investigation,
18-29,QPC development,ET_MAP,Drive torque measurement with piston type flow meter application,Air robustness verification,CRI1-20 injector development by EPD,Air robustness verification,FBR calibration,Peak pressure investigation,
18-29,QPC development,PD,Drive torque measurement with piston type flow meter application,Air robustness verification,CRI1-20 injector development by EPD,Air robustness verification,FBR calibration,Peak pressure investigation,
18-30,ETMAP,PD,Drive torque measurement,Air robustness verification,CRI1-20 injector development by EPD,Air robustness verification,FBR calibration,Peak pressure investigation,
18-30,ETMAP,PD,Drive torque measurement,Air robustness verification,CRI1-20 injector development by EPD,Air robustness verification,FBR calibration,Peak pressure investigation,
18-30,ET-MAP Yuchai Power V28_CRI1-18 B sample,PD,Drive torque measurement,Air robustness verification,CRI1-20 injector development by EPD,Air robustness verification,down time,Peak pressure investigation,
18-30,ET-MAP Yuchai Power V28_CRI1-18 B sample,PD,Drive torque measurement,Air robustness verification,CRI1-20 injector development by EPD,Air robustness verification,down time,Peak pressure investigation,
18-30,QWC-FFT trouble shooting,PD,Drive torque measurement,Air robustness verification,CRI1-20 injector development by EPD,Air robustness verification,FBR calibration,Peak pressure investigation,
18-31,QWC-FFT trouble shooting,PD,Drive torque measurement,Air robustness verification,CRI1-20 injector development by EPD,Air robustness verification,FBR calibration,LCM simulation,
18-31,FBR calibration,PD,Drive torque measurement,Air robustness verification,CRI1-20 injector development by EPD,Air robustness verification,FBR calibration,LCM simulation,
18-31,FBR calibration,PD,Drive torque measurement,Air robustness verification,CRI1-20 injector development by EPD,Air robustness verification,FBR calibration,LCM simulation,
18-31,FBR calibration,PD,Drive torque measurement,Air robustness verification,CRI1-20 injector development by EPD,Air robustness verification,FBR calibration,LCM simulation,
18-31,FBR calibration,PD,Drive torque measurement,Air robustness verification,CRI1-20 injector development by EPD,Air robustness verification,Reserve,LCM simulation,
18-32,Minimum Tdiff,PD,Drive torque measurement,Air robustness verification,CRI1-20 injector development by EPD,Air robustness verification,Peak pressure measurement,LCM simulation,
18-32,Minimum Tdiff,PD,Drive torque measurement,Air robustness verification,CRI1-20 injector development by EPD,Air robustness verification,Peak pressure measurement,LCM simulation,
18-32,Minimum Tdiff,PD,Drive torque measurement,Air robustness verification,CRI1-20 injector development by EPD,Air robustness verification,Peak pressure measurement,LCM simulation,
18-32,ETMAP,QWCFFT,Drive torque measurement,Air robustness verification,CRI1-20 injector development by EPD,Air robustness verification,Peak pressure measurement,QPC development,
18-32,ETMAP,QWCFFT,Drive torque measurement,Air robustness verification,CRI1-20 injector development by EPD,Air robustness verification,Peak pressure measurement,QPC development,
18-33,ET-MAP,QWCFFT,Drive torque measurement,Air robustness verification,CRI1-20 injector development by EPD,Air robustness verification,Peak pressure measurement,QPC development,
18-33,ET-MAP,QWCFFT,Drive torque measurement,Air robustness verification,CRI1-20 injector development by EPD,Air robustness verification,Peak pressure measurement,QPC development,
18-33,ET-MAP,QWCFFT,Drive torque measurement,Air robustness verification,CRI1-20 injector development by EPD,Air robustness verification,Peak pressure measurement,QPC development,
18-33,FBR calibration,QWCFFT,Drive torque measurement,Air robustness verification,CRI1-20 injector development by EPD,Air robustness verification,FBR calibration,QPC development,
18-33,FBR calibration,QWCFFT,Drive torque measurement,Air robustness verification,CRI1-20 injector development by EPD,Air robustness verification,FBR calibration,QPC development,
18-34,QWCFFT,QWCFFT,Drive torque measurement,Air robustness verification,CRI1-20 injector development by EPD,Air robustness verification,Jitter function test,QWC-FFT trouble shooting,
18-34,QWCFFT,QWCFFT,Drive torque measurement,Air robustness verification,CRI1-20 injector development by EPD,Air robustness verification,Jitter function test,QWC-FFT trouble shooting,
18-34,QWCFFT,QWCFFT,Drive torque measurement,Air robustness verification,CRI1-20 injector development by EPD,Air robustness verification,Jitter function test,QWC-FFT trouble shooting,
18-34,QWCFFT,QWCFFT,Drive torque measurement,Air robustness verification,CRI1-20 injector development by EPD,ET-MAP,Jitter function test,QPC development,
18-34,QWCFFT,QWCFFT,Drive torque measurement,Air robustness verification,CRI1-20 injector development by EPD,ET-MAP,Jitter function test,QPC development,
18-35,QWCFFT,QWCFFT,Drive torque measurement,Air robustness verification,CRI1-20 injector development by EPD,ET-MAP,Jitter function test,QPC development,
18-35,QWCFFT,QWCFFT,Drive torque measurement,Air robustness verification,CRI1-20 injector development by EPD,ET-MAP,Jitter function test,QPC development,
18-35,QWCFFT,QWCFFT,Drive torque measurement,Air robustness verification,CRI1-20 injector development by EPD,ET-MAP,PD,QPC development,
18-35,QWCFFT,QWCFFT,Drive torque measurement,Air robustness verification,CRI1-20 injector development by EPD,ET-MAP,PD,QPC development,
18-35,QWCFFT,QWCFFT,Drive torque measurement,Air robustness verification,CRI1-20 injector development by EPD,ET-MAP,PD,QPC development,
18-36,QWCFFT,QWCFFT,Drive torque measurement,Air robustness verification,CRI1-20 injector development by EPD,Empty tank start,PD,Maintenace,
18-36,QWCFFT,QWCFFT,Drive torque measurement,Air robustness verification,CRI1-20 injector development by EPD,Empty tank start,PD,Maintenace,
18-36,QWCFFT,QWCFFT,Drive torque measurement,Air robustness verification,CRI1-20 injector development by EPD,Empty tank start,Reserve,Maintenace,
18-36,QWCFFT,QWCFFT,Drive torque measurement,Air robustness verification,CRI1-20 injector development by EPD,Empty tank start,Reserve,Maintenace,
18-36,QWCFFT,QWCFFT,Drive torque measurement,Air robustness verification,CRI1-20 injector development by EPD,Empty tank start,Reserve,Maintenace,
18-37,Peak pressure measurement,FBR,Drive torque measurement,Air robustness verification,CRI1-20 injector development by EPD,Empty tank start,Trouble shooting,Maintenance,
18-37,Peak pressure measurement,FBR,Drive torque measurement,Air robustness verification,CRI1-20 injector development by EPD,Empty tank start,Trouble shooting,Maintenance,
18-37,Peak pressure measurement,FBR,Drive torque measurement,Air robustness verification,CRI1-20 injector development by EPD,Empty tank start,Trouble shooting,Maintenance,
18-37,Peak pressure measurement,ET-MAP,Drive torque measurement,Air robustness verification,CRI1-20 injector development by EPD,Empty tank start,idle,Maintenance,
18-37,Peak pressure measurement,ET-MAP,Drive torque measurement,Air robustness verification,CRI1-20 injector development by EPD,Empty tank start,idle,Maintenance,
18-38,Peak pressure measurement,ET-MAP,Drive torque measurement,Air robustness verification,CRI1-20 injector development by EPD,Empty tank start,PD,Maintenance,
18-38,Peak pressure measurement,ET-MAP,Drive torque measurement,Air robustness verification,CRI1-20 injector development by EPD,Empty tank start,PD,Maintenance,
18-38,Peak pressure measurement,Jitter function test,Drive torque measurement,Air robustness verification,CRI1-20 injector development by EPD,Empty tank start,PD,Maintenance,
18-38,Peak pressure measurement,Jitter function test,Drive torque measurement,Air robustness verification,CRI1-20 injector development by EPD,Empty tank start,PD,Maintenance,
18-38,Peak pressure measurement,Jitter function test,Drive torque measurement,Air robustness verification,CRI1-20 injector development by EPD,Empty tank start,PD,Maintenance,
18-39,Mid-autumn Day,Mid-autumn Day,Mid-autumn Day,Mid-autumn Day,Mid-autumn Day,Mid-autumn Day,Mid-autumn Day,Mid-autumn Day,
18-39,Peak pressure measurement,Jitter function test,Drive torque measurement,Air robustness verification,CRI1-20 injector development by EPD,CB4 RPM trouble shooting,PD,CB28-20 ZDT function verification,
18-39,Peak pressure measurement,Jitter function test,Drive torque measurement,Air robustness verification,CRI1-20 injector development by EPD,CB4 RPM trouble shooting,PD,CB28-20 ZDT function verification,
18-39,Peak pressure measurement,Jitter function test,Drive torque measurement,Air robustness verification,CRI1-20 injector development by EPD,CB4 RPM trouble shooting,PD,CB28-20 ZDT function verification,
18-39,Peak pressure measurement,Jitter function test,Drive torque measurement,Air robustness verification,CRI1-20 injector development by EPD,CB4 RPM trouble shooting,PD,CB28-20 ZDT function verification,
18-39,Peak pressure measurement,Improved gTS concept investigation,Drive torque measurement,Air robustness verification,CRI1-20 injector development by EPD,CB4 RPM trouble shooting,PD,Maintenance,
18-39,Peak pressure measurement,Improved gTS concept investigation,Drive torque measurement,Air robustness verification,CRI1-20 injector development by EPD,CB4 RPM trouble shooting,PD,Maintenance,
18-40,Holiday,Holiday,Holiday,Holiday,Holiday,Holiday,Holiday,Holiday,
18-40,Holiday,Holiday,Holiday,Holiday,Holiday,Holiday,Holiday,Holiday,
18-40,Holiday,Holiday,Holiday,Holiday,Holiday,Holiday,Holiday,Holiday,
18-40,Holiday,Holiday,Holiday,Holiday,Holiday,Holiday,Holiday,Holiday,
18-40,Holiday,Holiday,Holiday,Holiday,Holiday,Holiday,Holiday,Holiday,
18-41,Peak pressure measurement,Improved gTS concept investigation,Drive torque measurement,Air robustness verification,CRI1-20 injector development by EPD,CB4 RPM trouble shooting,PD,CB28-20 ZDT function verification,
18-41,Peak pressure measurement,Improved gTS concept investigation,Drive torque measurement,Air robustness verification,CRI1-20 injector development by EPD,CB4 RPM trouble shooting,PD,CB28-20 ZDT function verification,
18-41,QWC FFT,Improved gTS concept investigation,Drive torque measurement,Air robustness verification,CRI1-20 injector development by EPD,CB4 RPM trouble shooting,PD,CB28-20 ZDT function verification,
18-41,QWC FFT,Improved gTS concept investigation,Drive torque measurement,Air robustness verification,CRI1-20 injector development by EPD,ETMAP,ET-MAP,CB28-20 ZDT function verification,
18-41,QWC FFT,Improved gTS concept investigation,Drive torque measurement,Air robustness verification,CRI1-20 injector development by EPD,ETMAP,ET-MAP,CB28-20 ZDT function verification,
18-42,QWC FFT,QWC FFT training w,Drive torque measurement,Air robustness verification,CRI1-20 injector development by EPD,ETMAP,ET-MAP,QWC FFT,
18-42,QWC FFT,QWC FFT training w,Drive torque measurement,Air robustness verification,CRI1-20 injector development by EPD,ETMAP,ET-MAP,QWC FFT,
18-42,QWC FFT,QWC FFT training w,Drive torque measurement,Air robustness verification,CRI1-20 injector development by EPD,ETMAP,ET-MAP,QWC FFT,
18-42,QWC FFT,QWC FFT training w,Drive torque measurement,Air robustness verification,CRI1-20 injector development by EPD,ETMAP,ET-MAP,PLV5-20 openning pressure risk test,
18-42,QWC FFT,QWC FFT training w,Drive torque measurement,Air robustness verification,CRI1-20 injector development by EPD,ETMAP,ET-MAP,PLV5-20 openning pressure risk test,
18-43,QWC FFT,QWC FFT,maintenance,Air robustness verification,CRI1-20 injector development by EPD,ET-MAP,FBR,PLV5-20 openning pressure risk test,
18-43,QWC FFT,QWC FFT,maintenance,Air robustness verification,CRI1-20 injector development by EPD,ET-MAP,FBR,PLV5-20 openning pressure risk test,
18-43,QWC FFT,QWC FFT,maintenance,Air robustness verification,CRI1-20 injector development by EPD,ET-MAP,FBR,PLV5-20 openning pressure risk test,
18-43,QWC FFT,QWC FFT,maintenance,Air robustness verification,CRI1-20 injector development by EPD,ET-MAP,FBR,PLV5-20 openning pressure risk test,
18-43,QWC FFT,QWC FFT,maintenance,Air robustness verification,CRI1-20 injector development by EPD,ET-MAP,minTdiff,PLV5-20 openning pressure risk test,
18-44,QWC FFT,QWC FFT,Trouble shooting,Air robustness verification,CRI1-20 injector development by EPD,ET-MAP,minTdiff,Peak pressure measurement,
18-44,QWC FFT,QWC FFT,Trouble shooting,Air robustness verification,CRI1-20 injector development by EPD,ET-MAP,minTdiff,Peak pressure measurement,
18-44,QWC FFT,QWC FFT,Trouble shooting,Air robustness verification,CRI1-20 injector development by EPD,ET-MAP,minTdiff,Peak pressure measurement,
18-44,QWC FFT,QWC FFT,Trouble shooting,Air robustness verification,CRI1-20 injector development by EPD,ET-MAP,minTdiff,QWC FFT,
18-44,QWC FFT,QWC FFT,Trouble shooting,Air robustness verification,CRI1-20 injector development by EPD,Weichai WP2.3_CRI1-18 Bsample,minTdiff,QWC FFT,
18-45,QWC FFT,QWC FFT,Trouble shooting,Air robustness verification,CRI1-20 injector development by EPD,ET MAP,minTdiff,QWC FFT,
18-45,QWC FFT,QWC FFT,Trouble shooting,Air robustness verification,CRI1-20 injector development by EPD,ET MAP,minTdiff,QWC FFT,
18-45,QWC FFT,QWC FFT,Trouble shooting,Air robustness verification,CRI1-20 injector development by EPD,ET MAP,minTdiff,QWC FFT,
18-45,ET MAP,ET-MAP,Drive torque measurement,Air robustness verification,CRI1-20 injector development by EPD,ET MAP,minTdiff,QWC FFT,
18-45,ET MAP,ET-MAP,Drive torque measurement,Air robustness verification,CRI1-20 injector development by EPD,ET MAP,minTdiff,QWC FFT,
18-46,ET MAP,ET-MAP,Drive torque measurement,Air robustness verification,CRI1-20 injector development by EPD,ET-MAP,minTdiff,QWC FFT,
18-46,QWC FFT,ET-MAP,Drive torque measurement,Air robustness verification,CRI1-20 injector development by EPD,ET-MAP,minTdiff,QWC FFT,
18-46,QWC FFT,QWC FFT,Drive torque measurement,Air robustness verification,CRI1-20 injector development by EPD,ET-MAP,minTdiff,QWC FFT,
18-46,QWC FFT,QWC FFT,Drive torque measurement,Air robustness verification,CRI1-20 injector development by EPD,ET-MAP,minTdiff,QWC FFT,
18-46,QWC FFT,QWC FFT,Drive torque measurement,Air robustness verification,CRI1-20 injector development by EPD,FBR,minTdiff,QWC FFT,
18-47,ET-MAP,QWC FFT,Drive torque measurement,Air robustness verification,CRI1-20 injector development by EPD,FBR,minTdiff,QWC FFT,
18-47,ET-MAP,QWC FFT,Drive torque measurement,Air robustness verification,CRI1-20 injector development by EPD,FBR,minTdiff,QWC FFT,
18-47,QWC FFT,QWC FFT,Drive torque measurement,Air robustness verification,CRI1-20 injector development by EPD,FBR,minTdiff,QWC FFT,
18-47,QWC FFT,QWC FFT,Drive torque measurement,Air robustness verification,CRI1-20 injector development by EPD,ET-MAP,minTdiff,FBRMon,
18-47,QWC FFT,QWC FFT,Drive torque measurement,Air robustness verification,CRI1-20 injector development by EPD,ET-MAP,minTdiff,FBRMon,
18-48,QWC FFT,QWC FFT,Drive torque measurement,Air robustness verification,CRI1-20 injector development by EPD,ET-MAP,minTdiff,FBRMon,
18-48,QWC FFT,QWC FFT,Drive torque measurement,Air robustness verification,CRI1-20 injector development by EPD,ET-MAP,ETMAP,FBRMon,
18-48,ETMAP,QWC FFT,Drive torque measurement,Air robustness verification,CRI1-20 injector development by EPD,FBR calibration,ETMAP,FBRMon,
18-48,ETMAP,QWC FFT,Drive torque measurement for CPN2 /A_Yw,Air robustness verification,CRI1-20 injector development by EPD,FBR calibration,FBR calibration for DFCV DDI75  (Idle because of no capacity (engineer)),FBRMon,
18-48,VCC-Pil+QWC-FFT,QWC FFT,Drive torque measurement for CPN2 /A_Yw,Air robustness verification,CRI1-20 injector development by EPD,FBR calibration,FBR calibration for DFCV DDI75  (Idle because of no capacity (engineer)),FBRMon,
18-49,VCC-PiI+QWC-FFT calibration,ETMAP and QWC-FFT calibration,Drive torque measurement,Air robustness verification,CRI1-20 injector development by EPD,FBR calibration,Peak pressure measurement,Idle,
18-49,VCC-PiI+QWC-FFT calibration,ETMAP and QWC-FFT calibration,Drive torque measurement,Air robustness verification,CRI1-20 injector development by EPD,FBR calibration,Peak pressure measurement,Idle,
18-49,VCC-PiI+QWC-FFT calibration,ETMAP and QWC-FFT calibration,Drive torque measurement,Qmin,CRI1-20 injector development by EPD,FBR calibration,Peak pressure measurement,Idle,
18-49,VCC-PiI+QWC-FFT calibration,ETMAP and QWC-FFT calibration,Drive torque measurement,Qmin,CRI1-20 injector development by EPD,FBR calibration,Peak pressure measurement,FBR Calibration and Mon,
18-49,VCC-PiI+QWC-FFT calibration,ETMAP and QWC-FFT calibration,Drive torque measurement,Qmin,CRI1-20 injector development by EPD,FBR calibration,Peak pressure measurement,FBR Calibration and Mon,
18-50,VCC-PiI+QWC-FFT calibration,idle because of no componets for DFCV DDI75,Drive torque measurement,Trouble shooting,CRI1-20 injector development by EPD,FBR calibration,Peak pressure measurement,FBR Calibration and Mon,
18-50,VCC-PiI+QWC-FFT calibration,FBR calibration,Drive torque measurement,Trouble shooting,CRI1-20 injector development by EPD,FBR calibration,Peak pressure measurement,FBR Calibration and Mon,
18-50,VCC-PiI+QWC-FFT calibration,FBR calibration,Drive torque measurement,Trouble shooting,CRI1-20 injector development by EPD,FBR calibration,ET-Map,FBR Calibration and Mon,
18-50,VCC-PiI+QWC-FFT calibration,FBR calibration,Drive torque measurement,Trouble shooting,CRI1-20 injector development by EPD,FBR calibration,ET-Map,ET-MAP,
18-50,VCC-PiI+QWC-FFT calibration,FBR calibration,Drive torque measurement,Trouble shooting,CRI1-20 injector development by EPD,FBR calibration,Trouble shooting,ET-MAP,
18-51,VCC-PiI+QWC-FFT calibration,QWCFFT,Drive torque measurement,Qmin verification,CRI1-20 injector development by EPD,CANalyzer study,Trouble shooting,FBR,
18-51,VCC-PiI+QWC-FFT calibration,QWCFFT,Drive torque measurement,Qmin verification,CRI1-20 injector development by EPD,CANalyzer study,Trouble shooting,FBR,
18-51,VCC-PiI+QWC-FFT calibration,QWCFFT,Drive torque measurement,Qmin verification,CRI1-20 injector development by EPD,FBR calibration,Trouble shooting,FBR,
18-51,VCC-PiI+QWC-FFT calibration,QWCFFT,Drive torque measurement,Qmin verification,CRI1-20 injector development by EPD,FBR calibration,Trouble shooting,FBR,
18-51,VCC-PiI+QWC-FFT calibration,QWCFFT,Drive torque measurement,Qmin verification,CRI1-20 injector development by EPD,FBR calibration,Trouble shooting,FBR,
18-52,ETMAP and QWC-FFT and ISP  calibration,QWCFFT,Drive torque measurement,Qmin verification,Manitenance,FBR calibration,Trouble shooting,QWCFFT,
18-52,ETMAP and QWC-FFT and ISP  calibration,PD prtototype test,Drive torque measurement,Qmin verification,Manitenance,FBR calibration,Trouble shooting,QWCFFT,
18-52,ETMAP and QWC-FFT and ISP  calibration,PD prtototype test,Drive torque measurement,Qmin verification,Manitenance,FBR calibration,Trouble shooting,QWCFFT,
18-52,ETMAP and QWC-FFT and ISP  calibration,PD prtototype test,Drive torque measurement,Qmin verification,Manitenance,FBR calibration,Trouble shooting,QWCFFT,
18-52,ETMAP and QWC-FFT and ISP  calibration,PD prtototype test,Drive torque measurement,Qmin verification,Manitenance,FBR calibration,Peak pressure measurement,QWCFFT,
18-52,ETMAP and QWC-FFT and ISP  calibration,PD prtototype test,Drive torque measurement,Qmin verification,CRI1-20 injector development by EPD,FBR calibration,Peak pressure measurement,QWCFFT,
